Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  23,  2048,   24,        23,          0,       1.0
  23,  2048,   24,         0,          0,       1.0
  23,  2072,   24,        23,          0,       1.0
  23,  2072,   24,         0,          0,       1.0
  23,  4081,   24,        23,          0,       1.0
  23,  4081,   24,         0,          0,       1.0
  25,  4081,   24,        23,          0,       1.0
  25,  4081,   24,         0,          0,       1.0
  26,     0,   25,        23,          0,       1.0
  26,     0,   25,         0,          0,       1.0
  26,    25,   25,        23,          0,       1.0
  26,    25,   25,         0,          0,       1.0
  24,     0,   25,        23,          0,       1.0
  24,     0,   25,         0,          0,       1.0
  24,    25,   25,        23,          0,       1.0
  24,    25,   25,         0,          0,       1.0
  26,  2048,   25,        23,          0,       1.0
  26,  2048,   25,         0,          0,       1.0
  26,  2073,   25,        23,          0,       1.0
  26,  2073,   25,         0,          0,       1.0
  24,  2048,   25,        23,          0,       1.0
  24,  2048,   25,         0,          0,       1.0
  24,  2073,   25,        23,          0,       1.0
  24,  2073,   25,         0,          0,       1.0
  24,  4081,   25,        23,          0,       1.0
  24,  4081,   25,         0,          0,       1.0
  26,  4081,   25,        23,          0,       1.0
  26,  4081,   25,         0,          0,       1.0
  27,     0,   26,        23,          0,       1.0
  27,     0,   26,         0,          0,       1.0
  27,    26,   26,        23,          0,       1.0
  27,    26,   26,         0,          0,       1.0
  25,     0,   26,        23,          0,       1.0
  25,     0,   26,         0,          0,       1.0
  25,    26,   26,        23,          0,       1.0
  25,    26,   26,         0,          0,       1.0
  27,  2048,   26,        23,          0,       1.0
  27,  2048,   26,         0,          0,       1.0
  27,  2074,   26,        23,          0,       1.0
  27,  2074,   26,         0,          0,       1.0
  25,  2048,   26,        23,          0,       1.0
  25,  2048,   26,         0,          0,       1.0
  25,  2074,   26,        23,          0,       1.0
  25,  2074,   26,         0,          0,       1.0
  25,  4081,   26,        23,          0,       1.0
  25,  4081,   26,         0,          0,       1.0
  27,  4081,   26,        23,          0,       1.0
  27,  4081,   26,         0,          0,       1.0
  28,     0,   27,        23,          0,       1.0
  28,     0,   27,         0,          0,       1.0
  28,    27,   27,        23,          0,       1.0
  28,    27,   27,         0,          0,       1.0
  26,     0,   27,        23,          0,       1.0
  26,     0,   27,         0,          0,       1.0
  26,    27,   27,        23,          0,       1.0
  26,    27,   27,         0,          0,       1.0
  28,  2048,   27,        23,          0,       1.0
  28,  2048,   27,         0,          0,       1.0
  28,  2075,   27,        23,          0,       1.0
  28,  2075,   27,         0,          0,       1.0
  26,  2048,   27,        23,          0,       1.0
  26,  2048,   27,         0,          0,       1.0
  26,  2075,   27,        23,          0,       1.0
  26,  2075,   27,         0,          0,       1.0
  26,  4081,   27,        23,          0,       1.0
  26,  4081,   27,         0,          0,       1.0
  28,  4081,   27,        23,          0,       1.0
  28,  4081,   27,         0,          0,       1.0
  29,     0,   28,        23,          0,       1.0
  29,     0,   28,         0,          0,       1.0
  29,    28,   28,        23,          0,       1.0
  29,    28,   28,         0,          0,       1.0
  27,     0,   28,        23,          0,       1.0
  27,     0,   28,         0,          0,       1.0
  27,    28,   28,        23,          0,       1.0
  27,    28,   28,         0,          0,       1.0
  29,  2048,   28,        23,          0,       1.0
  29,  2048,   28,         0,          0,       1.0
  29,  2076,   28,        23,          0,       1.0
  29,  2076,   28,         0,          0,       1.0
